State	CountyName	counts
CO	Adams	16189
CO	Alamosa	5
CO	Arapahoe	24399
CO	Bent	4
CO	Boulder	10522
CO	Broomfield	1498
CO	Chaffee	13
CO	Cheyenne	2
CO	Clear Creek	8
CO	Conejos	2
CO	Costilla	2
CO	Crowley	2
CO	Custer	2
CO	Delta	10
CO	Denver	41855
CO	Dolores	1
CO	Douglas	1095
CO	Eagle	21
CO	Elbert	16
CO	El Paso	12183
CO	Fremont	10
CO	Garfield	20
CO	Gilpin	13
CO	Grand	11
CO	Gunnison	16
CO	Huerfano	5
CO	Jefferson	14944
CO	Kit Carson	1
CO	Lake	2
CO	La Plata	19
CO	Larimer	991
CO	Las Animas	4
CO	Lincoln	3
CO	Logan	2
CO	Mesa	42
CO	Moffat	3
CO	Montezuma	1
CO	Montrose	8
CO	Morgan	14
CO	Otero	6
CO	Ouray	4
CO	Park	21
CO	Phillips	1
CO	Pitkin	15
CO	Prowers	2
CO	Pueblo	7468
CO	Rio Blanco	1
CO	Rio Grande	4
CO	Routt	16
CO	Saguache	1
CO	San Juan	1
CO	San Miguel	6
CO	Summit	32
CO	Teller	11
CO	Washington	2
CO	Weld	1009
GA	Appling	3
GA	Baldwin	6
GA	Banks	1
GA	Barrow	4
GA	Bartow	22
GA	Ben Hill	2
GA	Bibb	20
GA	Bleckley	1
GA	Brantley	1
GA	Brooks	2
GA	Bryan	31
GA	Bulloch	27
GA	Burke	13
GA	Butts	1
GA	Calhoun	1
GA	Camden	4
GA	Candler	3
GA	Carroll	17
GA	Catoosa	3
GA	Chatham	22822
GA	Chattahoochee	1
GA	Cherokee	81
GA	Clarke	16
GA	Clayton	4488
GA	Cobb	12889
GA	Coffee	1
GA	Columbia	96
GA	Coweta	11
GA	Crisp	1
GA	Dade	1
GA	Dawson	7
GA	De Kalb	14035
GA	Dougherty	11
GA	Douglas	44
GA	Effingham	29
GA	Elbert	3
GA	Emanuel	4
GA	Evans	1
GA	Fannin	1
GA	Fayette	7
GA	Floyd	10
GA	Forsyth	26
GA	Franklin	2
GA	Fulton	7813
GA	Gilmer	5
GA	Glynn	7
GA	Gordon	8
GA	Gwinnett	1065
GA	Habersham	1
GA	Hall	12
GA	Haralson	1
GA	Harris	2
GA	Hart	2
GA	Henry	70
GA	Houston	10
GA	Jackson	2
GA	Jeff Davis	1
GA	Jefferson	2
GA	Jenkins	1
GA	Johnson	2
GA	Jones	1
GA	Lamar	4
GA	Lanier	2
GA	Laurens	6
GA	Liberty	22
GA	Lincoln	2
GA	Long	7
GA	Lowndes	12
GA	Macon	1
GA	McDuffie	7
GA	McIntosh	2
GA	Meriwether	1
GA	Mitchell	1
GA	Monroe	3
GA	Murray	3
GA	Muscogee	12
GA	Newton	40
GA	Oconee	4
GA	Paulding	52
GA	Peach	3
GA	Pierce	1
GA	Pike	2
GA	Pulaski	1
GA	Putnam	4
GA	Rabun	2
GA	Richmond	14207
GA	Rockdale	36
GA	Screven	4
GA	Seminole	1
GA	Spalding	15
GA	Stephens	1
GA	Stewart	1
GA	Sumter	4
GA	Tattnall	2
GA	Taylor	1
GA	Telfair	1
GA	Thomas	2
GA	Tift	1
GA	Toombs	2
GA	Troup	8
GA	Union	2
GA	Upson	1
GA	Walker	2
GA	Walton	7
GA	Ware	2
GA	Warren	1
GA	Washington	3
GA	Wayne	2
GA	White	4
GA	Whitfield	8
GA	Wilkes	1
GA	Worth	4
IA	Allamakee	1
IA	Appanoose	1
IA	Benton	25
IA	Black Hawk	499
IA	Boone	3
IA	Bremer	2
IA	Buchanan	4
IA	Butler	2
IA	Calhoun	1
IA	Carroll	3
IA	Cedar	6
IA	Cerro Gordo	3
IA	Cherokee	419
IA	Chickasaw	1
IA	Clarke	2
IA	Clay	3
IA	Clayton	3
IA	Clinton	10
IA	Crawford	2
IA	Dallas	115
IA	Davis	1
IA	Decatur	1
IA	Delaware	5
IA	Des Moines	3
IA	Dubuque	17
IA	Fayette	3
IA	Floyd	2
IA	Greene	3
IA	Guthrie	2
IA	Hamilton	1
IA	Hardin	3
IA	Harrison	1
IA	Henry	1
IA	Howard	2
IA	Ida	165
IA	Iowa	3
IA	Jackson	1
IA	Jasper	10
IA	Jefferson	2
IA	Johnson	108
IA	Jones	8
IA	Keokuk	3
IA	Lee	2
IA	Linn	15384
IA	Louisa	1
IA	Lucas	1
IA	Madison	15
IA	Mahaska	2
IA	Marion	7
IA	Marshall	3
IA	Mills	1
IA	Monona	3
IA	Muscatine	9
IA	O'Brien	2
IA	Osceola	1
IA	Page	1
IA	Plymouth	598
IA	Polk	25762
IA	Pottawattamie	3
IA	Poweshiek	6
IA	Ringgold	1
IA	Scott	9749
IA	Sioux	2
IA	Story	87
IA	Tama	2
IA	Van Buren	1
IA	Wapello	3
IA	Warren	36
IA	Washington	2
IA	Wayne	3
IA	Webster	4
IA	Winnebago	4
IA	Winneshiek	4
IA	Woodbury	5461
IA	Worth	1
KS	Atchison	1
KS	Bourbon	1
KS	Brown	1
KS	Butler	2
KS	Cherokee	1
KS	Clay	1
KS	Crawford	4
KS	Douglas	4921
KS	Ellis	1
KS	Ford	1
KS	Franklin	1
KS	Geary	1
KS	Jackson	1
KS	Jefferson	8
KS	Jewell	1
KS	Johnson	8725
KS	Kingman	1
KS	Leavenworth	1503
KS	Linn	3
KS	Lyon	2
KS	Montgomery	2
KS	Nemaha	1
KS	Neosho	1
KS	Osage	2
KS	Reno	2
KS	Riley	11
KS	Russell	1
KS	Saline	3
KS	Sedgwick	11
KS	Shawnee	8065
KS	Wyandotte	13817
KY	Anderson	1
KY	Campbell	1
KY	Clark	1
KY	Fayette	9899
KY	Franklin	1068
KY	Hopkins	1
KY	Jefferson	1
KY	Jessamine	2
KY	Kenton	1
KY	Madison	1
KY	Nicholas	1
KY	Pike	2
KY	Scott	303
KY	Woodford	1
ME	Androscoggin	19
ME	Cumberland	8945
ME	Franklin	7
ME	Hancock	10
ME	Kennebec	3574
ME	Knox	662
ME	Lincoln	268
ME	Oxford	5
ME	Penobscot	29
ME	Piscataquis	1
ME	Sagadahoc	1022
ME	Somerset	246
ME	Waldo	313
ME	Washington	4
ME	York	1439
MI	Alcona	104
MI	Alger	176
MI	Allegan	2453
MI	Alpena	344
MI	Antrim	152
MI	Arenac	52
MI	Baraga	182
MI	Barry	170
MI	Bay	2385
MI	Benzie	252
MI	Berrien	5057
MI	Branch	447
MI	Calhoun	5208
MI	Cass	881
MI	Charlevoix	238
MI	Cheboygan	251
MI	Chippewa	924
MI	Clare	408
MI	Clinton	1085
MI	Crawford	89
MI	Delta	286
MI	Dickinson	161
MI	Eaton	2652
MI	Emmet	350
MI	Genesee	29803
MI	Gladwin	260
MI	Gogebic	405
MI	Grand Traverse	1278
MI	Gratiot	769
MI	Hillsdale	164
MI	Houghton	423
MI	Huron	191
MI	Ingham	19476
MI	Ionia	537
MI	Iosco	327
MI	Iron	147
MI	Isabella	618
MI	Jackson	4018
MI	Kalamazoo	22131
MI	Kalkaska	27
MI	Kent	26068
MI	Keweenaw	14
MI	Lake	215
MI	Lapeer	681
MI	Leelanau	352
MI	Lenawee	2184
MI	Livingston	358
MI	Luce	41
MI	Mackinac	157
MI	Macomb	21105
MI	Manistee	482
MI	Marquette	1900
MI	Mason	544
MI	Mecosta	513
MI	Menominee	300
MI	Midland	1248
MI	Missaukee	44
MI	Monroe	3291
MI	Montcalm	536
MI	Montmorency	73
MI	Muskegon	7718
MI	Newaygo	158
MI	Oakland	40483
MI	Oceana	341
MI	Ogemaw	282
MI	Ontonagon	67
MI	Osceola	101
MI	Oscoda	67
MI	Otsego	99
MI	Ottawa	7642
MI	Presque Isle	152
MI	Roscommon	382
MI	Saginaw	10513
MI	Sanilac	236
MI	Schoolcraft	39
MI	Shiawassee	1228
MI	St. Clair	3426
MI	St. Joseph	1019
MI	Tuscola	498
MI	Van Buren	1549
MI	Washtenaw	27938
MI	Wayne	164295
MI	Wexford	289
MT	Beaverhead	4
MT	Big Horn	1
MT	Blaine	1
MT	Broadwater	1
MT	Carbon	3
MT	Cascade	9
MT	Chouteau	1
MT	Daniels	1
MT	Deer Lodge	1
MT	Fergus	3
MT	Flathead	31
MT	Gallatin	894
MT	Glacier	4
MT	Granite	8
MT	Hill	1
MT	Jefferson	4
MT	Lake	15
MT	Lewis and Clark	38
MT	Lincoln	4
MT	Madison	5
MT	McCone	2
MT	Mineral	8
MT	Missoula	9895
MT	Park	5
MT	Ravalli	555
MT	Richland	3
MT	Roosevelt	3
MT	Rosebud	2
MT	Sanders	7
MT	Silver Bow	700
MT	Sweet Grass	1
MT	Valley	2
MT	Yellowstone	545
NC	Alamance	73
NC	Alexander	7
NC	Alleghany	3
NC	Anson	9
NC	Ashe	11
NC	Avery	4
NC	Beaufort	13
NC	Bertie	2
NC	Bladen	8
NC	Brunswick	31
NC	Buncombe	3930
NC	Burke	10
NC	Cabarrus	105
NC	Caldwell	7
NC	Camden	1
NC	Carteret	6
NC	Caswell	3
NC	Catawba	19
NC	Chatham	20
NC	Cherokee	2
NC	Chowan	3
NC	Clay	2
NC	Cleveland	14
NC	Columbus	6
NC	Craven	11
NC	Cumberland	52
NC	Currituck	1
NC	Dare	5
NC	Davidson	42
NC	Davie	8
NC	Duplin	3
NC	Durham	9344
NC	Edgecombe	7
NC	Forsyth	10630
NC	Franklin	18
NC	Gaston	73
NC	Gates	1
NC	Graham	2
NC	Granville	16
NC	Greene	2
NC	Guilford	17748
NC	Halifax	5
NC	Harnett	13
NC	Haywood	18
NC	Henderson	28
NC	Hertford	4
NC	Hoke	6
NC	Iredell	38
NC	Jackson	13
NC	Johnston	50
NC	Jones	1
NC	Lee	12
NC	Lenoir	7
NC	Lincoln	9
NC	Macon	5
NC	Madison	10
NC	Martin	2
NC	McDowell	13
NC	Mecklenburg	33803
NC	Mitchell	7
NC	Montgomery	4
NC	Moore	9
NC	Nash	8
NC	New Hanover	60
NC	Northampton	1
NC	Onslow	14
NC	Orange	97
NC	Pasquotank	8
NC	Pender	3
NC	Perquimans	3
NC	Person	6
NC	Pitt	36
NC	Polk	4
NC	Randolph	26
NC	Richmond	7
NC	Robeson	20
NC	Rockingham	25
NC	Rowan	28
NC	Rutherford	12
NC	Sampson	8
NC	Scotland	3
NC	Stanly	13
NC	Stokes	7
NC	Surry	12
NC	Swain	1
NC	Transylvania	6
NC	Union	109
NC	Vance	7
NC	Wake	15026
NC	Warren	3
NC	Watauga	63
NC	Wayne	16
NC	Wilkes	8
NC	Wilson	8
NC	Yadkin	2
NC	Yancey	7
NE	Adams	1
NE	Box Butte	1
NE	Buffalo	1
NE	Burt	2
NE	Cass	3
NE	Colfax	1
NE	Dodge	3
NE	Douglas	8631
NE	Hall	1
NE	Johnson	1
NE	Lancaster	10
NE	Madison	2
NE	Platte	2
NE	Sarpy	44
NE	Scotts Bluff	1
NE	Seward	2
NE	Thurston	1
NE	Washington	1
NH	Belknap	2
NH	Carroll	3
NH	Cheshire	2
NH	Coos	2
NH	Hillsborough	3642
NH	Merrimack	11
NH	Rockingham	755
NH	Strafford	1039
NH	Sullivan	221
PA	Adams	1
PA	Allegheny	13728
PA	Berks	11
PA	Bradford	1
PA	Bucks	9336
PA	Carbon	1
PA	Centre	7
PA	Chester	1119
PA	Columbia	2
PA	Cumberland	6923
PA	Dauphin	12595
PA	Delaware	10934
PA	Erie	2
PA	Fayette	1
PA	Franklin	3
PA	Indiana	2
PA	Lackawanna	11063
PA	Lancaster	328
PA	Lebanon	4
PA	Lehigh	4445
PA	Luzerne	9427
PA	Lycoming	1
PA	Mercer	2
PA	Monroe	1292
PA	Montgomery	1862
PA	Northampton	3040
PA	Northumberland	1
PA	Perry	140
PA	Philadelphia	47537
PA	Pike	1
PA	Schuylkill	3
PA	Susquehanna	1
PA	Union	1
PA	Washington	7
PA	Wayne	1
PA	Westmoreland	4
PA	Wyoming	184
PA	York	3638
WI	Adams	2
WI	Ashland	2
WI	Bayfield	3
WI	Brown	4262
WI	Calumet	365
WI	Chippewa	4
WI	Clark	3
WI	Columbia	5
WI	Crawford	1
WI	Dane	18659
WI	Dodge	5
WI	Door	3
WI	Dunn	3
WI	Florence	1
WI	Fond du Lac	941
WI	Forest	1
WI	Grant	6
WI	Green	1
WI	Green Lake	2
WI	Iowa	1
WI	Jackson	2
WI	Jefferson	4
WI	Juneau	2
WI	Kenosha	4254
WI	Kewaunee	2
WI	La Crosse	5079
WI	Langlade	1
WI	Manitowoc	2
WI	Marathon	6
WI	Marinette	2
WI	Menominee	2
WI	Milwaukee	35435
WI	Monroe	4
WI	Oconto	6
WI	Oneida	2
WI	Outagamie	3171
WI	Ozaukee	21
WI	Pierce	1
WI	Portage	8
WI	Racine	4827
WI	Richland	1
WI	Rock	9
WI	Sauk	2
WI	Sawyer	1
WI	Shawano	4
WI	Sheboygan	6
WI	St. Croix	1
WI	Taylor	1
WI	Trempealeau	2
WI	Vernon	3
WI	Vilas	2
WI	Walworth	6
WI	Washington	16
WI	Waukesha	764
WI	Waupaca	4
WI	Waushara	3
WI	Winnebago	3598
WI	Wood	5
