"state","age","sex","race",counts
"KY","50-64","M","Asian",169
"KY","50-64","M","White",47789
"KY","50-64","M","Latino",132
"KY","50-64","M","Na-Am",9
"KY","50-64","M","Unk",796
"KY","65+","F","Black",7766
"KY","65+","F","Asian",84
"KY","65+","F","White",90892
"KY","65+","F","Latino",79
"KY","65+","F","Na-Am",6
"KY","65+","F","Unk",810
"KY","65+","M","Black",4049
"KY","65+","M","Asian",85
"KY","65+","M","White",56647
"KY","65+","M","Latino",51
"KY","65+","M","Na-Am",8
"KY","65+","M","Unk",475
"KY","65+","U","Black",2
"KY","65+","U","White",1
"KY","Unk","F","Black",92
"KY","Unk","F","Asian",14
"KY","Unk","F","White",1256
"KY","Unk","F","Latino",8
"KY","Unk","F","Unk",43
"KY","Unk","M","Black",78
"KY","Unk","M","Asian",7
"KY","Unk","M","White",679
"KY","Unk","M","Latino",5
"KY","Unk","M","Unk",32
"KY","Unk","U","White",7
"KY","Unk","U","Unk",1
"MI","18-24","F","Black",25342
"MI","18-24","F","Asian",2259
"MI","18-24","F","White",76537
"MI","18-24","F","Latino",3577
"MI","18-24","F","Na-Am",113
"MI","18-24","F","Unk",5548
"MI","18-24","M","Black",21726
"MI","18-24","M","Asian",1870
"MI","18-24","M","White",47829
"MI","18-24","M","Latino",2975
"MI","18-24","M","Na-Am",78
"MI","18-24","M","Unk",4106
"MI","18-24","U","Black",68
"MI","18-24","U","Asian",26
"MI","18-24","U","White",161
"MI","18-24","U","Latino",12
"MI","18-24","U","Unk",23
"MI","25-34","F","Black",63581
"MI","25-34","F","Asian",2961
"MI","25-34","F","White",179781
"MI","25-34","F","Latino",5292
"MI","25-34","F","Na-Am",231
"MI","25-34","F","Unk",11628
"MI","25-34","M","Black",53832
"MI","25-34","M","Asian",2664
"MI","25-34","M","White",117578
"MI","25-34","M","Latino",4188
"MI","25-34","M","Na-Am",134
"MI","25-34","M","Unk",8039
"MI","25-34","U","Black",24
"MI","25-34","U","Asian",9
"MI","25-34","U","White",47
"MI","25-34","U","Latino",4
"MI","25-34","U","Unk",9
"MI","35-49","F","Black",80431
"MI","35-49","F","Asian",4113
"MI","35-49","F","White",182087
"MI","35-49","F","Latino",6037
"MI","35-49","F","Na-Am",295
"MI","35-49","F","Unk",13106
"MI","35-49","M","Black",64926
"MI","35-49","M","Asian",3194
"MI","35-49","M","White",103329
"MI","35-49","M","Latino",4663
"MI","35-49","M","Na-Am",169
"MI","35-49","M","Unk",8097
"MI","35-49","U","Black",10
"MI","35-49","U","Asian",13
"MI","35-49","U","White",22
"MI","35-49","U","Latino",2
"MI","35-49","U","Unk",7
"MI","50-64","F","Black",83624
"MI","50-64","F","Asian",3645
"MI","50-64","F","White",191158
"MI","50-64","F","Latino",4783
"MI","50-64","F","Na-Am",278
"MI","50-64","F","Unk",9799
"MI","50-64","M","Black",64370
"MI","50-64","M","Asian",3447
"MI","50-64","M","White",99085
"MI","50-64","M","Latino",3983
"MI","50-64","M","Na-Am",158
"MI","50-64","M","Unk",5924
"MI","50-64","U","Black",2
"MI","50-64","U","Asian",7
"MI","50-64","U","White",14
"MI","50-64","U","Unk",5
"MI","65+","F","Black",68253
"MI","65+","F","Asian",1987
"MI","65+","F","White",179196
"MI","65+","F","Latino",2793
"MI","65+","F","Na-Am",195
"MI","65+","F","Unk",6236
"MI","65+","M","Black",42417
"MI","65+","M","Asian",1764
"MI","65+","M","White",93860
"MI","65+","M","Latino",2107
"MI","65+","M","Na-Am",141
"MI","65+","M","Unk",3620
"MI","65+","U","Black",2
"MI","65+","U","White",6
"MI","65+","U","Unk",1
"MI","Unk","F","Black",1357
"MI","Unk","F","Asian",183
"MI","Unk","F","White",3725
"MI","Unk","F","Latino",235
"MI","Unk","F","Na-Am",6
"MI","Unk","F","Unk",311
"MI","Unk","M","Black",1101
"MI","Unk","M","Asian",189
"MI","Unk","M","White",1846
"MI","Unk","M","Latino",153
"MI","Unk","M","Na-Am",5
"MI","Unk","M","Unk",206
"MI","Unk","U","Black",4
"MI","Unk","U","Asian",2
"MI","Unk","U","White",2
"MT","18-24","F","Black",2
"MT","18-24","F","Asian",4
"MT","18-24","F","White",3846
"MT","18-24","F","Latino",15
"MT","18-24","F","Na-Am",95
"MT","18-24","F","Unk",138
"MT","18-24","M","Black",3
"MT","18-24","M","Asian",3
"MT","18-24","M","White",3431
"MT","18-24","M","Latino",21
"MT","18-24","M","Na-Am",78
"MT","18-24","M","Unk",154
"MT","18-24","U","Black",4
"MT","18-24","U","Asian",1
"MT","18-24","U","White",1765
"MT","18-24","U","Latino",8
"MT","18-24","U","Na-Am",94
"MT","18-24","U","Unk",97
"MT","25-34","F","Black",11
"MT","25-34","F","Asian",11
"MT","25-34","F","White",9344
"MT","25-34","F","Latino",36
"MT","25-34","F","Na-Am",381
"MT","25-34","F","Unk",416
"MT","25-34","M","Black",11
"MT","25-34","M","Asian",7
"MT","25-34","M","White",7407
"MT","25-34","M","Latino",27
"MT","25-34","M","Na-Am",311
"MT","25-34","M","Unk",324
"MT","25-34","U","Black",4
"MT","25-34","U","Asian",6
"MT","25-34","U","White",789
"MT","25-34","U","Latino",4
"MT","25-34","U","Na-Am",85
"MT","25-34","U","Unk",78
"MT","35-49","F","Black",23
"MT","35-49","F","Asian",25
"MT","35-49","F","White",12290
"MT","35-49","F","Latino",58
"MT","35-49","F","Na-Am",635
"MT","35-49","F","Unk",624
"MT","35-49","M","Black",17
"MT","35-49","M","Asian",7
"MT","35-49","M","White",8127
"MT","35-49","M","Latino",45
"MT","35-49","M","Na-Am",476
"MT","35-49","M","Unk",417
"MT","35-49","U","Black",1
"MT","35-49","U","Asian",3
"MT","35-49","U","White",420
"MT","35-49","U","Latino",2
"MT","35-49","U","Na-Am",38
"MT","35-49","U","Unk",49
"MT","50-64","F","Black",28
"MT","50-64","F","Asian",27
"MT","50-64","F","White",13933
"MT","50-64","F","Latino",55
"MT","50-64","F","Na-Am",737
"MT","50-64","F","Unk",685
"MT","50-64","M","Black",22
"MT","50-64","M","Asian",10
"MT","50-64","M","White",8056
"MT","50-64","M","Latino",48
"MT","50-64","M","Na-Am",508
"MT","50-64","M","Unk",404
"MT","50-64","U","Black",5
"MT","50-64","U","White",179
"MT","50-64","U","Latino",2
"MT","50-64","U","Na-Am",15
"MT","50-64","U","Unk",28
"MT","65+","F","Black",36
"MT","65+","F","Asian",24
"MT","65+","F","White",16636
"MT","65+","F","Latino",70
"MT","65+","F","Na-Am",480
"MT","65+","F","Unk",540
"MT","65+","M","Black",37
"MT","65+","M","Asian",21
"MT","65+","M","White",9354
"MT","65+","M","Latino",54
"MT","65+","M","Na-Am",309
"MT","65+","M","Unk",300
"MT","65+","U","Asian",1
"MT","65+","U","White",115
"MT","65+","U","Na-Am",2
"MT","65+","U","Unk",5
"MT","Unk","F","White",176
"MT","Unk","F","Na-Am",5
"MT","Unk","F","Unk",8
"MT","Unk","M","White",131
"MT","Unk","M","Latino",3
"MT","Unk","M","Na-Am",3
"MT","Unk","M","Unk",5
"MT","Unk","U","Black",1
"MT","Unk","U","White",113
"MT","Unk","U","Latino",1
"MT","Unk","U","Na-Am",7
"MT","Unk","U","Unk",4
"NC","18-24","F","Black",53059
"NC","18-24","F","Asian",3160
"NC","18-24","F","White",48070
"NC","18-24","F","Latino",13449
"NC","18-24","F","Na-Am",1460
"NC","18-24","F","Unk",6950
"NC","18-24","M","Black",47442
"NC","18-24","M","Asian",2480
"NC","18-24","M","White",33577
"NC","18-24","M","Latino",10939
"NC","18-24","M","Na-Am",1176
"NC","18-24","M","Unk",5524
"NC","18-24","U","Black",3966
"NC","18-24","U","Asian",133
"NC","18-24","U","White",1953
"NC","18-24","U","Latino",243
"NC","18-24","U","Na-Am",22
"NC","18-24","U","Unk",351
"NC","25-34","F","Black",83335
"NC","25-34","F","Asian",3414
"NC","25-34","F","White",74412
"NC","25-34","F","Latino",10182
"NC","25-34","F","Na-Am",1796
"NC","25-34","F","Unk",6884
"NC","25-34","M","Black",58707
"NC","25-34","M","Asian",2498
"NC","25-34","M","White",51931
"NC","25-34","M","Latino",6841
"NC","25-34","M","Na-Am",1143
"NC","25-34","M","Unk",4855
"NC","25-34","U","Black",1547
"NC","25-34","U","Asian",101
"NC","25-34","U","White",810
"NC","25-34","U","Latino",89
"NC","25-34","U","Na-Am",11
"NC","25-34","U","Unk",205
"NC","35-49","F","Black",109030
"NC","35-49","F","Asian",4234
"NC","35-49","F","White",90218
"NC","35-49","F","Latino",8337
"NC","35-49","F","Na-Am",2724
"NC","35-49","F","Unk",6064
"NC","35-49","M","Black",71714
"NC","35-49","M","Asian",2830
"NC","35-49","M","White",57966
"NC","35-49","M","Latino",5686
"NC","35-49","M","Na-Am",1608
"NC","35-49","M","Unk",4292
"NC","35-49","U","Black",796
"NC","35-49","U","Asian",115
"NC","35-49","U","White",335
"NC","35-49","U","Latino",48
"NC","35-49","U","Na-Am",4
"NC","35-49","U","Unk",110
"NC","50-64","F","Black",115675
"NC","50-64","F","Asian",2851
"NC","50-64","F","White",112802
"NC","50-64","F","Latino",5267
"NC","50-64","F","Na-Am",2681
"NC","50-64","F","Unk",4338
"NC","50-64","M","Black",82571
"NC","50-64","M","Asian",2458
"NC","50-64","M","White",73074
"NC","50-64","M","Latino",4530
"NC","50-64","M","Na-Am",1828
"NC","50-64","M","Unk",3552
"NC","50-64","U","Black",290
"NC","50-64","U","Asian",70
"NC","50-64","U","White",176
"NC","50-64","U","Latino",15
"NC","50-64","U","Na-Am",4
"NC","50-64","U","Unk",52
"NC","65+","F","Black",90271
"NC","65+","F","Asian",1456
"NC","65+","F","White",149716
"NC","65+","F","Latino",2170
"NC","65+","F","Na-Am",2379
"NC","65+","F","Unk",2547
"NC","65+","M","Black",55372
"NC","65+","M","Asian",1298
"NC","65+","M","White",94922
"NC","65+","M","Latino",1756
"NC","65+","M","Na-Am",1559
"NC","65+","M","Unk",2035
"NC","65+","U","Black",136
"NC","65+","U","Asian",30
"NC","65+","U","White",80
"NC","65+","U","Latino",13
"NC","65+","U","Na-Am",5
"NC","65+","U","Unk",24
"NC","Unk","F","Black",4430
"NC","Unk","F","Asian",283
"NC","Unk","F","White",3243
"NC","Unk","F","Latino",1334
"NC","Unk","F","Na-Am",134
"NC","Unk","F","Unk",601
"NC","Unk","M","Black",4247
"NC","Unk","M","Asian",242
"NC","Unk","M","White",2598
"NC","Unk","M","Latino",1248
"NC","Unk","M","Na-Am",125
"NC","Unk","M","Unk",540
"NC","Unk","U","Black",587
"NC","Unk","U","Asian",15
"NC","Unk","U","White",187
"NC","Unk","U","Latino",49
"NC","Unk","U","Na-Am",13
"NC","Unk","U","Unk",48
"NE","18-24","F","Black",264
"NE","18-24","F","Asian",55
"NE","18-24","F","White",6811
"NE","18-24","F","Latino",1050
"NE","18-24","F","Na-Am",16
"NE","18-24","F","Unk",613
"NE","18-24","M","Black",253
"NE","18-24","M","Asian",43
"NE","18-24","M","White",5256
"NE","18-24","M","Latino",780
"NE","18-24","M","Na-Am",10
"NE","18-24","M","Unk",452
"NE","18-24","U","Black",588
"NE","18-24","U","Asian",39
"NE","18-24","U","White",2936
"NE","18-24","U","Latino",288
"NE","18-24","U","Na-Am",14
"NE","18-24","U","Unk",256
"NE","25-34","F","Black",1314
"NE","25-34","F","Asian",78
"NE","25-34","F","White",17096
"NE","25-34","F","Latino",1360
"NE","25-34","F","Na-Am",98
"NE","25-34","F","Unk",1280
"NE","25-34","M","Black",814
"NE","25-34","M","Asian",64
"NE","25-34","M","White",12908
"NE","25-34","M","Latino",928
"NE","25-34","M","Na-Am",56
"NE","25-34","M","Unk",795
"NE","25-34","U","Black",237
"NE","25-34","U","Asian",35
"NE","25-34","U","White",922
"NE","25-34","U","Latino",80
"NE","25-34","U","Na-Am",12
"NE","25-34","U","Unk",169
"NE","35-49","F","Black",1906
"NE","35-49","F","Asian",101
"NE","35-49","F","White",27538
"NE","35-49","F","Latino",1698
"NE","35-49","F","Na-Am",129
"NE","35-49","F","Unk",1531
"NE","35-49","M","Black",1155
"NE","35-49","M","Asian",91
"NE","35-49","M","White",19191
"NE","35-49","M","Latino",1088
"NE","35-49","M","Na-Am",72
"NE","35-49","M","Unk",1001
"NE","35-49","U","Black",148
"NE","35-49","U","Asian",38
"NE","35-49","U","White",635
"NE","35-49","U","Latino",72
"NE","35-49","U","Na-Am",6
"NE","35-49","U","Unk",142
"NE","50-64","F","Black",1983
"NE","50-64","F","Asian",71
"NE","50-64","F","White",31866
"NE","50-64","F","Latino",1303
"NE","50-64","F","Na-Am",142
"NE","50-64","F","Unk",1096
"NE","50-64","M","Black",1286
"NE","50-64","M","Asian",61
"NE","50-64","M","White",21699
"NE","50-64","M","Latino",1385
"NE","50-64","M","Na-Am",68
"NE","50-64","M","Unk",850
"NE","50-64","U","Black",66
"NE","50-64","U","Asian",18
"NE","50-64","U","White",302
"NE","50-64","U","Latino",40
"NE","50-64","U","Na-Am",1
"NE","50-64","U","Unk",67
"NE","65+","F","Black",1638
"NE","65+","F","Asian",63
"NE","65+","F","White",38613
"NE","65+","F","Latino",736
"NE","65+","F","Na-Am",84
"NE","65+","F","Unk",742
"NE","65+","M","Black",923
"NE","65+","M","Asian",69
"NE","65+","M","White",25174
"NE","65+","M","Latino",722
"NE","65+","M","Na-Am",39
"NE","65+","M","Unk",579
"NE","65+","U","Black",15
"NE","65+","U","Asian",11
"NE","65+","U","White",135
"NE","65+","U","Latino",25
"NE","65+","U","Unk",20
"NE","Unk","F","Black",10
"NE","Unk","F","Asian",5
"NE","Unk","F","White",553
"NE","Unk","F","Latino",66
"NE","Unk","F","Na-Am",1
"NE","Unk","F","Unk",35
"NE","Unk","M","Black",10
"NE","Unk","M","White",320
"NE","Unk","M","Latino",55
"NE","Unk","M","Unk",36
"NE","Unk","U","Black",37
"NE","Unk","U","Asian",5
"NE","Unk","U","White",307
"NE","Unk","U","Latino",27
"NE","Unk","U","Unk",24
"WI","18-24","F","Black",1204
"WI","18-24","F","Asian",157
"WI","18-24","F","White",11071
"WI","18-24","F","Latino",1030
"WI","18-24","F","Na-Am",40
"WI","18-24","F","Unk",828
"WI","18-24","M","Black",867
"WI","18-24","M","Asian",107
"WI","18-24","M","White",6468
"WI","18-24","M","Latino",645
"WI","18-24","M","Na-Am",28
"WI","18-24","M","Unk",466
"WI","18-24","U","Black",1901
"WI","18-24","U","Asian",245
"WI","18-24","U","White",3143
"WI","18-24","U","Latino",321
"WI","18-24","U","Na-Am",19
"WI","18-24","U","Unk",486
"WI","25-34","F","Black",7517
"WI","25-34","F","Asian",797
"WI","25-34","F","White",64275
"WI","25-34","F","Latino",2681
"WI","25-34","F","Na-Am",258
"WI","25-34","F","Unk",3652
"WI","25-34","M","Black",4343
"WI","25-34","M","Asian",570
"WI","25-34","M","White",38649
"WI","25-34","M","Latino",1469
"WI","25-34","M","Na-Am",117
"WI","25-34","M","Unk",1953
"WI","25-34","U","Black",2480
"WI","25-34","U","Asian",623
"WI","25-34","U","White",4462
"WI","25-34","U","Latino",282
"WI","25-34","U","Na-Am",24
"WI","25-34","U","Unk",1046
"WI","35-49","F","Black",15637
"WI","35-49","F","Asian",1334
"WI","35-49","F","White",103997
"WI","35-49","F","Latino",5036
"WI","35-49","F","Na-Am",496
"WI","35-49","F","Unk",7034
"WI","35-49","M","Black",9570
"WI","35-49","M","Asian",1009
"WI","35-49","M","White",62750
"WI","35-49","M","Latino",3320
"WI","35-49","M","Na-Am",309
"WI","35-49","M","Unk",4081
"WI","35-49","U","Black",2853
"WI","35-49","U","Asian",704
"WI","35-49","U","White",4963
"WI","35-49","U","Latino",533
"WI","35-49","U","Na-Am",29
"WI","35-49","U","Unk",1268
"WI","50-64","F","Black",15754
"WI","50-64","F","Asian",1229
"WI","50-64","F","White",121722
"WI","50-64","F","Latino",4192
"WI","50-64","F","Na-Am",634
"WI","50-64","F","Unk",5235
"WI","50-64","M","Black",11718
"WI","50-64","M","Asian",1096
"WI","50-64","M","White",72090
"WI","50-64","M","Latino",3546
"WI","50-64","M","Na-Am",384
"WI","50-64","M","Unk",3387
"WI","50-64","U","Black",1407
"WI","50-64","U","Asian",600
"WI","50-64","U","White",3354
"WI","50-64","U","Latino",332
"WI","50-64","U","Na-Am",25
"WI","50-64","U","Unk",785
"WI","65+","F","Black",11664
"WI","65+","F","Asian",616
"WI","65+","F","White",121401
"WI","65+","F","Latino",2033
"WI","65+","F","Na-Am",487
"WI","65+","F","Unk",3214
"WI","65+","M","Black",8167
"WI","65+","M","Asian",565
"WI","65+","M","White",73080
"WI","65+","M","Latino",1797
"WI","65+","M","Na-Am",304
"WI","65+","M","Unk",2085
"WI","65+","U","Black",821
"WI","65+","U","Asian",216
"WI","65+","U","White",1535
"WI","65+","U","Latino",136
"WI","65+","U","Na-Am",20
"WI","65+","U","Unk",309
"WI","Unk","F","Black",4595
"WI","Unk","F","Asian",632
"WI","Unk","F","White",57922
"WI","Unk","F","Latino",3360
"WI","Unk","F","Na-Am",310
"WI","Unk","F","Unk",4945
"WI","Unk","M","Black",4217
"WI","Unk","M","Asian",462
"WI","Unk","M","White",40623
"WI","Unk","M","Latino",2619
"WI","Unk","M","Na-Am",225
"WI","Unk","M","Unk",3522
"WI","Unk","U","Black",4442
"WI","Unk","U","Asian",956
"WI","Unk","U","White",13850
"WI","Unk","U","Latino",1112
"WI","Unk","U","Na-Am",114
"WI","Unk","U","Unk",2836