pod	disposition	1	2	3	4	5	6	7	8	9	10	11
MTW	"refusal rate"	0.01387403281	0.01511899937	0.01567674551	0.01810884129	0.01756051565	0.01826690595	0.01844987798	0.02731366073	0.02117731224	0.01765761943	0.01636866034
MW	"refusal rate"	0.02024903928	0.02190601952	0.02102459102	0.02155543522	0.02066550665	0.02435831701	0.02444577395	0.02333364681	0.0238338912	0.02702323703	0.02352589437
NE	"refusal rate"	0.02252651482	0.01792626042	0.02001607538	0.01572273482	0.02268427388	0.01792700499	0.02265167566	0.01687260611	0.0163709495	0.02286075861	0.01244304047
SE	"refusal rate"	0.01415910334	0.01745404583	0.01950099972	0.01615813909	0.01649291115	0.01496401242	0.01488240347	0.01646334062	0.0149225251	0.01809015045	0.0115313248
All	"refusal rate"	0.01802376241	0.01795445401	0.01917695195	0.01727183221	0.01982971403	0.01794260252	0.01963974835	0.01934821436	0.01816295605	0.02060583078	0.01456085427
MTW	"not home rate"	0.8952597508	0.9064031242	0.8804678303	0.8578556909	0.8377122564	0.6898422939	0.8285831516	0.7642458864	0.7502630668	0.6927293631	0.6666568601
MW	"not home rate"	0.8867473857	0.8440983197	0.8741310516	0.8270929186	0.7522566647	0.7584813531	0.767362355	0.5927288418	0.6104401955	0.6804285227	0.7301365959
NE	"not home rate"	0.81112803	0.8563816778	0.8493156802	0.848415317	0.8257897745	0.7639439937	0.7212755444	0.7878755707	0.6485485424	0.5645959092	0.6885075219
SE	"not home rate"	0.9193831373	0.8382904286	0.8414507772	0.8417058861	0.7661523139	0.6948269844	0.6450960817	0.7053694262	0.6327631289	0.6239312769	0.613252574
All	"not home rate"	0.871812789	0.8598597236	0.8571318414	0.8453165405	0.801909026	0.7267456038	0.7242335865	0.7306395902	0.6632406622	0.6258619557	0.6662338314
MTW	"contact rate"	0.0104626082	0.02688231465	0.03126757039	0.02134077381	0.02151523645	0.02032695315	0.02993338208	0.04715862802	0.02778957897	0.05041905622	0.08764124278
MW	"contact rate"	0.01630106442	0.01929968669	0.02870511189	0.02387148551	0.02393503899	0.01513417703	0.02903560758	0.02515918105	0.02008532601	0.02172835566	0.03749147443
NE	"contact rate"	0.01056792826	0.02304804911	0.02571820887	0.0260745153	0.01464878088	0.01741247376	0.01549687612	0.02364900733	0.03721756537	0.04405305839	0.05645002293
SE	"contact rate"	0.008042232198	0.01669848102	0.02185625524	0.02986903891	0.05163181379	0.01035090192	0.01174804393	0.01347667314	0.01144369287	0.01393749445	0.03360004803
All	"contact rate"	0.01078831826	0.02154192607	0.02620878769	0.02563605124	0.0271410418	0.01547606622	0.01891731986	0.02449074329	0.02424865959	0.03361477723	0.0508793542