statecode	turnout_attempted	turnout_canvassed	dials	canvassed	ctvs	vbms	vote_plan	dialer_minutes
Alabama	0.58439	0.724856	911299	18614	7942	696	4005	217595
Arizona	0.738667	0.834249	3328397	100893	33150	1252	3743	609563
Colorado	0.828577	0.889514	2946520	99872	32768	765	12828	505796
Florida	0.748484	0.863692	6878719	119631	40087	1890	3829	1349982
Georgia	0.709524	0.79926	3977602	72818	17298	1024	6304	760222
Iowa	0.731891	0.834193	1329957	31265	6525	266	4881	372618
Kansas	0.733523	0.821939	726389	15605	6455	466	2487	218962
Kentucky	0.672179	0.771651	942974	37052	3858	297	1248	182902
Maine	0.793603	0.849637	478734	23716	2352	101	1027	131291
Michigan	0.678044	0.8	4557725	83818	18890	528	2964	947301
Minnesota	0.861398	0.892046	1478734	30672	18788	364	0	257447
Montana	0.830791	0.92664	357133	7297	1750	71	2429	109832
North Carolina	0.717472	0.853767	3418951	92797	19376	725	6987	689165
Nebraska	0.789584	0.859188	400862	11583	4714	298	917	134370
New Hampshire	0.78487	0.855172	357518	6292	1975	104	804	75535
Pennsylvania	0.654702	0.767469	4628379	101855	24701	2420	6243	949180
South Carolina	0.701251	0.850427	1010639	21024	6116	728	6242	220943
Wisconsin	0.692491	0.811409	2662019	57869	14643	1262	6430	501440
All States	0.6802471793673016	0.7844907692162113	40392551	932673	261388	13257	73368	8234144