statecode	datecanvassed	dials	canvassed	ctvs	vbms	vote_plan	week_number	dialer_minutes
AL	2020-08-26	95458	1680	917	94	0	10	29533
AL	2020-08-27	0	0	0	0	0	10	0
AL	2020-08-28	0	0	0	0	0	10	0
AL	2020-08-29	39	0	0	0	0	9	0
AL	2020-08-30	79	1	1	0	0	9	0
AL	2020-08-31	126241	1658	825	70	0	9	37676
AL	2020-09-01	94975	2432	1348	174	0	9	18419
AL	2020-09-02	0	0	0	0	0	9	0
AL	2020-09-03	0	0	0	0	0	9	0
AL	2020-09-04	0	0	0	0	0	9	0
AL	2020-09-05	0	0	0	0	0	8	0
AL	2020-09-06	0	0	0	0	0	8	0
AL	2020-09-07	0	0	0	0	0	8	0
AL	2020-09-08	28	0	0	0	0	8	0
AL	2020-09-09	85172	2533	1434	166	0	8	18333
AL	2020-09-10	0	0	0	0	0	8	0
AL	2020-09-11	0	0	0	0	0	8	0
AL	2020-09-12	1019	22	19	2	0	7	0
AL	2020-09-13	0	0	0	0	0	7	0
AL	2020-09-14	0	0	0	0	0	7	0
AL	2020-09-15	6294	219	118	9	0	7	2539
AL	2020-09-16	19	0	0	0	0	7	14
AL	2020-09-17	0	0	0	0	0	7	0
AL	2020-09-18	0	0	0	0	0	7	0
AL	2020-09-19	0	0	0	0	0	6	0
AL	2020-09-20	0	0	0	0	0	6	0
AL	2020-09-21	0	0	0	0	0	6	0
AL	2020-09-22	0	0	0	0	0	6	0
AL	2020-09-23	516	243	0	0	0	6	0
AL	2020-09-24	0	0	0	0	0	6	0
AL	2020-09-25	0	0	0	0	0	6	0
AL	2020-09-26	53210	865	621	30	0	5	10459
AL	2020-09-27	44873	772	550	35	0	5	10923
AL	2020-09-28	53332	905	670	37	0	5	10222
AL	2020-09-29	53532	885	659	29	0	5	11181
AL	2020-09-30	72224	1067	780	26	0	5	10870
AL	2020-10-01	0	0	0	0	0	5	0
AL	2020-10-02	0	0	0	0	0	5	0
AL	2020-10-03	0	0	0	0	0	4	0
AL	2020-10-04	0	0	0	0	0	4	0
AL	2020-10-05	0	0	0	0	0	4	0
AL	2020-10-06	0	0	0	0	0	4	0
AL	2020-10-07	0	0	0	0	0	4	0
AL	2020-10-08	0	0	0	0	0	4	0
AL	2020-10-09	0	0	0	0	0	4	0
AL	2020-10-10	1282	69	0	0	31	3	0
AL	2020-10-11	3205	48	0	0	21	3	0
AL	2020-10-12	16628	425	0	5	322	3	2965
AL	2020-10-13	29747	802	0	5	622	3	5536
AL	2020-10-14	22350	609	0	5	456	3	4770
AL	2020-10-15	0	0	0	0	0	3	0
AL	2020-10-16	0	0	0	0	0	3	0
AL	2020-10-17	17493	420	0	0	332	2	3486
AL	2020-10-18	23589	564	0	2	429	2	4220
AL	2020-10-19	26177	575	0	4	461	2	4348
AL	2020-10-20	27766	564	0	3	453	2	4475
AL	2020-10-21	16728	285	0	0	210	2	3194
AL	2020-10-22	0	0	0	0	0	2	0
AL	2020-10-23	0	0	0	0	0	2	0
AL	2020-10-24	0	0	0	0	0	1	0
AL	2020-10-25	0	0	0	0	0	1	0
AL	2020-10-26	577	0	0	0	0	1	0
AL	2020-10-27	0	0	0	0	0	1	0
AL	2020-10-28	0	0	0	0	0	1	0
AL	2020-10-29	0	0	0	0	0	1	0
AL	2020-10-30	0	0	0	0	0	1	0
AL	2020-10-31	0	0	0	0	0	1	0
AL	2020-11-01	35462	867	0	0	631	1	14230
AL	2020-11-02	0	0	0	0	0	1	0
AL	2020-11-03	3284	104	0	0	37	1	10202
AZ	2020-08-15	592	12	0	0	0	11	0
AZ	2020-08-16	17	1	0	0	0	11	0
AZ	2020-08-17	138700	11986	1711	48	0	11	0
AZ	2020-08-18	138831	13229	2005	164	0	11	0
AZ	2020-08-19	2886	70	0	1	0	11	0
AZ	2020-08-20	3956	79	0	6	0	11	0
AZ	2020-08-21	15	0	0	0	0	11	0
AZ	2020-08-22	161922	3791	2300	55	0	10	0
AZ	2020-08-23	141177	3019	1974	54	0	10	47528
AZ	2020-08-24	888	4	4	0	0	10	0
AZ	2020-08-25	53571	2579	0	108	0	10	0
AZ	2020-08-26	3069	57	0	4	0	10	0
AZ	2020-08-27	4812	51	0	3	0	10	0
AZ	2020-08-28	261	149	0	0	0	10	0
AZ	2020-08-29	4633	49	0	4	0	9	0
AZ	2020-08-30	586	2	0	0	0	9	0
AZ	2020-08-31	155149	4177	2828	74	0	9	51628
AZ	2020-09-01	219828	7215	2784	183	0	9	26453
AZ	2020-09-02	4033	62	11	1	0	9	0
AZ	2020-09-03	2060	26	0	0	0	9	0
AZ	2020-09-04	34	0	0	0	0	9	0
AZ	2020-09-05	1115	11	0	0	0	8	0
AZ	2020-09-06	14	0	0	0	0	8	0
AZ	2020-09-07	0	0	0	0	0	8	0
AZ	2020-09-08	84858	4691	3299	123	0	8	25942
AZ	2020-09-09	118787	4952	3356	104	0	8	27279
AZ	2020-09-10	215	10	0	0	0	8	0
AZ	2020-09-11	0	0	0	0	0	8	0
AZ	2020-09-12	104	2	2	0	0	7	0
AZ	2020-09-13	30	0	0	0	0	7	0
AZ	2020-09-14	16	5	0	0	0	7	0
AZ	2020-09-15	127658	5544	3826	132	0	7	84879
AZ	2020-09-16	118734	4336	3046	57	0	7	26638
AZ	2020-09-17	113	4	0	1	0	7	0
AZ	2020-09-18	0	0	0	0	0	7	0
AZ	2020-09-19	1029	24	0	0	0	6	0
AZ	2020-09-20	0	0	0	0	0	6	0
AZ	2020-09-21	340	20	0	1	0	6	0
AZ	2020-09-22	884	33	0	1	0	6	0
AZ	2020-09-23	60	35	0	0	0	6	0
AZ	2020-09-24	81	0	0	0	0	6	0
AZ	2020-09-25	12	0	0	0	0	6	0
AZ	2020-09-26	452	7	0	1	0	5	0
AZ	2020-09-27	20	0	0	0	0	5	0
AZ	2020-09-28	192	2	0	0	0	5	0
AZ	2020-09-29	31	0	0	0	0	5	0
AZ	2020-09-30	11	11	0	0	0	5	0
AZ	2020-10-01	0	0	0	0	0	5	0
AZ	2020-10-02	0	0	0	0	0	5	0
AZ	2020-10-03	129612	2402	1934	41	0	4	22857
AZ	2020-10-04	156077	2632	2112	45	0	4	24704
AZ	2020-10-05	114965	2597	1958	41	0	4	22489
AZ	2020-10-06	39	39	0	0	0	4	0
AZ	2020-10-07	29	29	0	0	0	4	0
AZ	2020-10-08	0	0	0	0	0	4	0
AZ	2020-10-09	0	0	0	0	0	4	0
AZ	2020-10-10	65207	2346	0	0	0	3	10632
AZ	2020-10-11	54191	2152	0	0	0	3	10060
AZ	2020-10-12	59313	2259	0	0	0	3	10460
AZ	2020-10-13	40374	1962	0	0	0	3	8704
AZ	2020-10-14	40635	1784	0	0	0	3	8537
AZ	2020-10-15	0	0	0	0	0	3	0
AZ	2020-10-16	0	0	0	0	0	3	0
AZ	2020-10-17	53066	2011	0	0	0	2	9228
AZ	2020-10-18	76785	2602	0	0	0	2	10176
AZ	2020-10-19	0	0	0	0	0	2	0
AZ	2020-10-20	54853	1956	0	0	0	2	8322
AZ	2020-10-21	55522	1803	0	0	0	2	7787
AZ	2020-10-22	0	0	0	0	0	2	0
AZ	2020-10-23	0	0	0	0	0	2	0
AZ	2020-10-24	36533	420	0	0	308	1	8586
AZ	2020-10-25	69820	527	0	0	340	1	8824
AZ	2020-10-26	108504	1061	0	0	627	1	13505
AZ	2020-10-27	104153	1129	0	0	592	1	11937
AZ	2020-10-28	109428	1756	0	0	882	1	12693
AZ	2020-10-29	0	0	0	0	0	1	0
AZ	2020-10-30	0	0	0	0	0	1	0
AZ	2020-10-31	129516	972	0	0	368	1	16183
AZ	2020-11-01	185689	1276	0	0	336	1	17493
AZ	2020-11-02	102580	517	0	0	200	1	12071
AZ	2020-11-03	89730	416	0	0	90	1	63968
CO	2020-08-19	156884	13319	2713	0	0	11	0
CO	2020-08-20	0	0	0	0	0	11	0
CO	2020-08-21	0	0	0	0	0	11	0
CO	2020-08-22	0	0	0	0	0	10	0
CO	2020-08-23	0	0	0	0	0	10	0
CO	2020-08-24	194656	15773	2985	0	0	10	50506
CO	2020-08-25	206451	16305	2985	0	0	10	0
CO	2020-08-26	111	0	0	0	0	10	0
CO	2020-08-27	0	0	0	0	0	10	0
CO	2020-08-28	0	0	0	0	0	10	0
CO	2020-08-29	155179	3263	2210	52	0	9	21429
CO	2020-08-30	153236	4235	3001	155	0	9	24348
CO	2020-08-31	405	7	4	1	0	9	0
CO	2020-09-01	122	2	2	0	0	9	0
CO	2020-09-02	167582	4881	3454	134	0	9	25862
CO	2020-09-03	0	0	0	0	0	9	0
CO	2020-09-04	0	0	0	0	0	9	0
CO	2020-09-05	0	0	0	0	0	8	0
CO	2020-09-06	0	0	0	0	0	8	0
CO	2020-09-07	0	0	0	0	0	8	0
CO	2020-09-08	0	0	0	0	0	8	0
CO	2020-09-09	0	0	0	0	0	8	0
CO	2020-09-10	0	0	0	0	0	8	0
CO	2020-09-11	0	0	0	0	0	8	0
CO	2020-09-12	176321	4586	3315	119	0	7	24840
CO	2020-09-13	167923	4146	2983	108	0	7	25825
CO	2020-09-14	203318	5155	3713	136	0	7	28064
CO	2020-09-15	213	4	3	1	0	7	0
CO	2020-09-16	101	0	0	0	0	7	0
CO	2020-09-17	0	0	0	0	0	7	0
CO	2020-09-18	0	0	0	0	0	7	0
CO	2020-09-19	0	0	0	0	0	6	0
CO	2020-09-20	0	0	0	0	0	6	0
CO	2020-09-21	0	0	0	0	0	6	0
CO	2020-09-22	0	0	0	0	0	6	0
CO	2020-09-23	0	0	0	0	0	6	0
CO	2020-09-24	0	0	0	0	0	6	0
CO	2020-09-25	0	0	0	0	0	6	0
CO	2020-09-26	0	0	0	0	0	5	0
CO	2020-09-27	0	0	0	0	0	5	0
CO	2020-09-28	0	0	0	0	0	5	0
CO	2020-09-29	0	0	0	0	0	5	0
CO	2020-09-30	0	0	0	0	0	5	0
CO	2020-10-01	0	0	0	0	0	5	0
CO	2020-10-02	0	0	0	0	0	5	0
CO	2020-10-03	0	0	0	0	0	4	0
CO	2020-10-04	0	0	0	0	0	4	0
CO	2020-10-05	0	0	0	0	0	4	0
CO	2020-10-06	94704	2579	2208	7	0	4	26190
CO	2020-10-07	163313	3780	3192	9	0	4	24607
CO	2020-10-08	0	0	0	0	0	4	0
CO	2020-10-09	0	0	0	0	0	4	0
CO	2020-10-10	71602	1552	0	2	1351	3	9886
CO	2020-10-11	62832	1486	0	3	1268	3	9514
CO	2020-10-12	55523	1613	0	8	1279	3	11174
CO	2020-10-13	74775	1789	0	5	1259	3	10358
CO	2020-10-14	47172	1467	0	1	977	3	10100
CO	2020-10-15	0	0	0	0	0	3	0
CO	2020-10-16	0	0	0	0	0	3	0
CO	2020-10-17	54447	1351	0	2	796	2	7464
CO	2020-10-18	64767	1340	0	0	640	2	8477
CO	2020-10-19	58949	1525	0	5	815	2	9969
CO	2020-10-20	56129	1375	0	1	804	2	9873
CO	2020-10-21	62417	1568	0	6	922	2	9927
CO	2020-10-22	0	0	0	0	0	2	0
CO	2020-10-23	0	0	0	0	0	2	0
CO	2020-10-24	24795	426	0	1	216	1	9380
CO	2020-10-25	62745	1028	0	1	603	1	9883
CO	2020-10-26	72241	1287	0	2	561	1	12249
CO	2020-10-27	93537	1570	0	3	630	1	11894
CO	2020-10-28	64330	764	0	3	321	1	11794
CO	2020-10-29	0	0	0	0	0	1	0
CO	2020-10-30	0	0	0	0	0	1	0
CO	2020-10-31	28688	315	0	0	123	1	4600
CO	2020-11-01	47816	420	0	0	129	1	6019
CO	2020-11-02	23831	201	0	0	57	1	6110
CO	2020-11-03	79405	760	0	0	77	1	85454
FL	2020-08-18	164338	13614	2082	146	0	11	0
FL	2020-08-19	267475	9406	2234	134	0	11	0
FL	2020-08-20	0	0	0	0	0	11	0
FL	2020-08-21	0	0	0	0	0	11	0
FL	2020-08-22	30822	215	171	16	0	10	0
FL	2020-08-23	7513	43	31	4	0	10	0
FL	2020-08-24	258279	2990	2434	136	0	10	31413
FL	2020-08-25	291226	3323	2667	141	0	10	35046
FL	2020-08-26	267429	3158	2526	129	0	10	64795
FL	2020-08-27	1	0	0	0	0	10	0
FL	2020-08-28	0	0	0	0	0	10	0
FL	2020-08-29	1357	15	12	0	0	9	0
FL	2020-08-30	30	0	0	0	0	9	0
FL	2020-08-31	245067	2947	2393	107	0	9	66681
FL	2020-09-01	197657	2348	1891	83	0	9	34273
FL	2020-09-02	207110	2400	1977	71	0	9	33628
FL	2020-09-03	0	0	0	0	0	9	0
FL	2020-09-04	0	0	0	0	0	9	0
FL	2020-09-05	0	0	0	0	0	8	0
FL	2020-09-06	0	0	0	0	0	8	0
FL	2020-09-07	0	0	0	0	0	8	0
FL	2020-09-08	187523	2606	2171	70	0	8	32824
FL	2020-09-09	207057	2721	2219	63	0	8	35747
FL	2020-09-10	0	0	0	0	0	8	0
FL	2020-09-11	0	0	0	0	0	8	0
FL	2020-09-12	1230	24	22	1	0	7	0
FL	2020-09-13	72	0	0	0	0	7	0
FL	2020-09-14	67	2	0	0	0	7	0
FL	2020-09-15	316307	3815	3099	137	0	7	84185
FL	2020-09-16	326187	3586	2934	149	0	7	80219
FL	2020-09-17	0	0	0	0	0	7	0
FL	2020-09-18	0	0	0	0	0	7	0
FL	2020-09-19	210541	2209	1748	74	0	6	72949
FL	2020-09-20	269931	3344	2667	133	0	6	40710
FL	2020-09-21	317572	3278	2632	113	0	6	41379
FL	2020-09-22	218130	2210	1789	74	0	6	22894
FL	2020-09-23	337557	2982	2388	97	0	6	39547
FL	2020-09-24	0	0	0	0	0	6	0
FL	2020-09-25	0	0	0	0	0	6	0
FL	2020-09-26	82248	2788	0	6	0	5	23340
FL	2020-09-27	78587	2331	0	1	0	5	22727
FL	2020-09-28	73663	2398	0	0	0	5	21147
FL	2020-09-29	142822	3696	0	1	0	5	23542
FL	2020-09-30	127564	3689	0	0	0	5	21325
FL	2020-10-01	0	0	0	0	0	5	0
FL	2020-10-02	0	0	0	0	0	5	0
FL	2020-10-03	96614	3020	0	1	0	4	19754
FL	2020-10-04	76368	2675	0	1	0	4	18738
FL	2020-10-05	95244	3172	0	1	0	4	20352
FL	2020-10-06	92625	2698	0	1	0	4	21821
FL	2020-10-07	95802	3592	0	0	0	4	21763
FL	2020-10-08	0	0	0	0	0	4	0
FL	2020-10-09	0	0	0	0	0	4	0
FL	2020-10-10	105051	2795	0	0	0	3	19984
FL	2020-10-11	102681	2952	0	0	0	3	21596
FL	2020-10-12	116712	3390	0	0	0	3	20252
FL	2020-10-13	4200	47	0	0	0	3	0
FL	2020-10-14	1465	12	0	0	0	3	0
FL	2020-10-15	0	0	0	0	0	3	0
FL	2020-10-16	0	0	0	0	0	3	0
FL	2020-10-17	752	18	0	0	0	2	0
FL	2020-10-18	660	4	0	0	0	2	0
FL	2020-10-19	18	0	0	0	0	2	0
FL	2020-10-20	74751	2086	0	0	0	2	13751
FL	2020-10-21	62295	1231	0	0	0	2	14276
FL	2020-10-22	0	0	0	0	0	2	0
FL	2020-10-23	0	0	0	0	0	2	0
FL	2020-10-24	50320	826	0	0	0	1	11237
FL	2020-10-25	70852	1144	0	0	0	1	9790
FL	2020-10-26	183868	1695	0	0	1001	1	23502
FL	2020-10-27	158924	1239	0	0	709	1	21001
FL	2020-10-28	155206	1086	0	0	616	1	23362
FL	2020-10-29	0	0	0	0	0	1	0
FL	2020-10-30	0	0	0	0	0	1	0
FL	2020-10-31	29481	188	0	0	92	1	0
FL	2020-11-01	212441	1385	0	0	591	1	29621
FL	2020-11-02	143081	1370	0	0	642	1	28543
FL	2020-11-03	113946	868	0	0	178	1	182268
GA	2020-08-15	20945	270	193	35	0	11	0
GA	2020-08-16	195068	2296	1563	176	0	11	0
GA	2020-08-17	218610	4338	2939	293	0	11	0
GA	2020-08-18	22390	213	125	20	0	11	0
GA	2020-08-19	10634	85	66	16	0	11	0
GA	2020-08-20	3	0	0	0	0	11	0
GA	2020-08-21	0	0	0	0	0	11	0
GA	2020-08-22	14791	127	88	3	0	10	0
GA	2020-08-23	5556	27	13	3	0	10	0
GA	2020-08-24	8131	51	36	0	0	10	0
GA	2020-08-25	3845	2	1	0	0	10	0
GA	2020-08-26	9493	128	124	4	0	10	0
GA	2020-08-27	6	0	0	0	0	10	0
GA	2020-08-28	0	0	0	0	0	10	0
GA	2020-08-29	223754	2392	1996	87	0	9	31817
GA	2020-08-30	235279	2595	2209	105	0	9	32334
GA	2020-08-31	0	0	0	0	0	9	0
GA	2020-09-01	26	0	0	0	0	9	0
GA	2020-09-02	0	0	0	0	0	9	0
GA	2020-09-03	18	0	0	0	0	9	0
GA	2020-09-04	0	0	0	0	0	9	0
GA	2020-09-05	0	0	0	0	0	8	0
GA	2020-09-06	0	0	0	0	0	8	0
GA	2020-09-07	0	0	0	0	0	8	0
GA	2020-09-08	618	0	0	0	0	8	0
GA	2020-09-09	0	0	0	0	0	8	0
GA	2020-09-10	226	2	0	0	0	8	0
GA	2020-09-11	0	0	0	0	0	8	0
GA	2020-09-12	7240	100	91	5	0	7	0
GA	2020-09-13	243266	2659	2266	83	0	7	37915
GA	2020-09-14	233836	2374	1976	76	0	7	40253
GA	2020-09-15	136	1	0	0	0	7	0
GA	2020-09-16	13	0	0	0	0	7	0
GA	2020-09-17	115	0	0	0	0	7	0
GA	2020-09-18	150	0	0	0	0	7	0
GA	2020-09-19	10	0	0	0	0	6	0
GA	2020-09-20	49	0	0	0	0	6	0
GA	2020-09-21	77	0	0	0	0	6	0
GA	2020-09-22	1184	3	3	0	0	6	0
GA	2020-09-23	0	0	0	0	0	6	0
GA	2020-09-24	0	0	0	0	0	6	0
GA	2020-09-25	0	0	0	0	0	6	0
GA	2020-09-26	97179	5078	624	20	0	5	11577
GA	2020-09-27	50055	4431	519	8	0	5	15091
GA	2020-09-28	100398	5835	704	23	0	5	15289
GA	2020-09-29	86565	6918	742	20	0	5	17662
GA	2020-09-30	110721	8521	1020	19	0	5	17374
GA	2020-10-01	0	0	0	0	0	5	0
GA	2020-10-02	0	0	0	0	0	5	0
GA	2020-10-03	74820	1704	0	0	0	4	15290
GA	2020-10-04	56398	1847	0	2	0	4	15117
GA	2020-10-05	79503	1741	0	2	0	4	14918
GA	2020-10-06	58846	1354	0	0	0	4	15423
GA	2020-10-07	28508	720	0	1	0	4	16039
GA	2020-10-08	0	0	0	0	0	4	0
GA	2020-10-09	0	0	0	0	0	4	0
GA	2020-10-10	80737	1485	0	0	0	3	13949
GA	2020-10-11	66767	1420	0	0	0	3	14705
GA	2020-10-12	93011	1351	0	7	1016	3	14574
GA	2020-10-13	68318	905	0	1	597	3	15289
GA	2020-10-14	108662	1227	0	1	830	3	15628
GA	2020-10-15	668	0	0	0	0	3	0
GA	2020-10-16	0	0	0	0	0	3	0
GA	2020-10-17	64038	658	0	0	423	2	12434
GA	2020-10-18	86891	873	0	1	549	2	13676
GA	2020-10-19	85857	739	0	1	401	2	13630
GA	2020-10-20	93602	1130	0	1	0	2	14271
GA	2020-10-21	73407	810	0	0	0	2	13861
GA	2020-10-22	811	5	0	0	0	2	0
GA	2020-10-23	0	0	0	0	0	2	0
GA	2020-10-24	37058	470	0	4	0	1	8170
GA	2020-10-25	66787	856	0	1	0	1	8876
GA	2020-10-26	157025	956	0	1	636	1	16380
GA	2020-10-27	87028	562	0	4	302	1	13719
GA	2020-10-28	90497	649	0	1	371	1	15764
GA	2020-10-29	0	0	0	0	0	1	0
GA	2020-10-30	0	0	0	0	0	1	0
GA	2020-10-31	88847	697	0	0	308	1	21608
GA	2020-11-01	139477	885	0	0	380	1	24123
GA	2020-11-02	164809	708	0	0	321	1	24676
GA	2020-11-03	124843	620	0	0	170	1	188790
IA	2020-08-19	74759	7477	1230	63	0	11	0
IA	2020-08-20	0	0	0	0	0	11	0
IA	2020-08-21	0	0	0	0	0	11	0
IA	2020-08-22	0	0	0	0	0	10	0
IA	2020-08-23	7	0	0	0	0	10	0
IA	2020-08-24	73620	1542	1133	58	0	10	13859
IA	2020-08-25	54371	1320	982	41	0	10	44095
IA	2020-08-26	61	0	0	0	0	10	0
IA	2020-08-27	27	0	0	0	0	10	0
IA	2020-08-28	29	1	0	0	0	10	0
IA	2020-08-29	94924	1702	1232	46	0	9	17504
IA	2020-08-30	28	2	1	0	0	9	0
IA	2020-08-31	143	5	0	0	0	9	0
IA	2020-09-01	89	2	0	0	0	9	0
IA	2020-09-02	157	8	0	0	0	9	0
IA	2020-09-03	306	13	0	0	0	9	0
IA	2020-09-04	27	2	0	0	0	9	0
IA	2020-09-05	180	12	0	0	0	8	0
IA	2020-09-06	55	3	0	0	0	8	0
IA	2020-09-07	72	2	0	0	0	8	0
IA	2020-09-08	90	4	0	0	0	8	0
IA	2020-09-09	61	3	0	0	0	8	0
IA	2020-09-10	68	5	0	0	0	8	0
IA	2020-09-11	104	3	0	0	0	8	0
IA	2020-09-12	73	4	0	0	0	7	0
IA	2020-09-13	187	3	0	0	0	7	0
IA	2020-09-14	63	3	0	0	0	7	0
IA	2020-09-15	78	6	0	0	0	7	0
IA	2020-09-16	24	4	0	0	0	7	0
IA	2020-09-17	39	3	0	0	0	7	0
IA	2020-09-18	45	0	0	0	0	7	0
IA	2020-09-19	119374	1647	1115	38	0	6	41725
IA	2020-09-20	123839	1285	832	10	0	6	21117
IA	2020-09-21	834	36	0	0	0	6	0
IA	2020-09-22	350	27	0	0	0	6	0
IA	2020-09-23	277	13	0	0	0	6	0
IA	2020-09-24	251	14	0	0	0	6	0
IA	2020-09-25	173	6	0	0	0	6	0
IA	2020-09-26	237	13	0	0	0	5	0
IA	2020-09-27	437	20	0	0	0	5	0
IA	2020-09-28	120	7	0	0	0	5	0
IA	2020-09-29	198	18	0	0	0	5	0
IA	2020-09-30	299	9	0	0	0	5	0
IA	2020-10-01	130	3	0	0	0	5	0
IA	2020-10-02	116	4	0	0	0	5	0
IA	2020-10-03	234	10	0	0	0	4	0
IA	2020-10-04	1020	45	0	0	0	4	0
IA	2020-10-05	21801	849	0	1	0	4	6055
IA	2020-10-06	27028	960	0	2	0	4	5780
IA	2020-10-07	28759	933	0	0	0	4	5258
IA	2020-10-08	273	7	0	0	0	4	0
IA	2020-10-09	235	12	0	0	0	4	0
IA	2020-10-10	23829	1129	0	2	0	3	0
IA	2020-10-11	19664	952	0	0	0	3	5135
IA	2020-10-12	19153	850	0	1	0	3	4759
IA	2020-10-13	1310	72	0	0	23	3	0
IA	2020-10-14	986	79	0	0	0	3	0
IA	2020-10-15	322	42	0	0	0	3	0
IA	2020-10-16	172	22	0	0	0	3	0
IA	2020-10-17	37028	649	0	1	449	2	5596
IA	2020-10-18	44239	698	0	1	409	2	5653
IA	2020-10-19	53571	1023	0	1	506	2	6332
IA	2020-10-20	36096	874	0	1	352	2	5320
IA	2020-10-21	28653	602	0	0	281	2	5137
IA	2020-10-22	13	0	0	0	0	2	0
IA	2020-10-23	4	0	0	0	0	2	0
IA	2020-10-24	3063	41	0	0	27	1	0
IA	2020-10-25	3548	12	0	0	11	1	0
IA	2020-10-26	41808	758	0	0	402	1	6748
IA	2020-10-27	45812	728	0	0	358	1	6150
IA	2020-10-28	43060	641	0	0	315	1	6785
IA	2020-10-29	125	15	0	0	0	1	0
IA	2020-10-30	223	26	0	0	0	1	0
